tt,Inc,Title,Length,Keywords,Entity,Singleton
NVIDIA GTC 2020,University of Cambridge,Accelerating Unsupervised SAR Polarimetric Image Segmentation by Parallel Wishart Classifier [P21999],84,"Brand,Image segmentation,List of sensors,Synthetic-aperture radar","SAR,Wishart Classification Based",satellite
NVIDIA GTC 2020,Hewlett Packard Enterprise,AI  The Network Edge (Presented by HPE) [S22480],61,"Edge case,Extreme environment,Process capability,Silent Generation","Shivam Patel, Visiting Research Student, University of Cambridge",
NVIDIA GTC 2020,Teradata,Anomaly Detection on Aircraft Sensor Data Using Deep Learning [s21454],149,"Neural network,Proximity sensor,Rheology",Airbus,"anomaly,solution,using,autoencoder,volume"
NVIDIA GTC 2020,Altair Engineering,Complex 60 GPU CFD Simulations for Aerospace Gearboxes [s21788],94,"Computational fluid dynamics,DC-to-DC converter,Fluid bearing","GPU,CFD,Altair nanoFluidX.","gearbox,cfd,challenge,inside,solving"
NVIDIA GTC 2020,KAIST,Deep Learning-Based Anti-Drone System [P21900],22,"Deep Instinct,Deep learning",,"poster,detecting,research"
NVIDIA GTC 2020,National Institute of Information and Communications Technology,Deep-Learning Model for Finding New Superconductors [P21328],121,Deep learning,Fe,"material,obtained,database,discovered,hightemperature,2008,represented"
NVIDIA GTC 2020,Nasa Langley Research Center,Landing on Mars: Petascale Unstructured-Grid Computational Fluid Dynamics Simulations on Summit [S21584],107,"Human,Mars atmospheric entry","Oak Ridge National Laboratory,GPU,NASA Langley Research Center's,FUN3D,HPC,Summit","summit,computational,solver,investigate"
NVIDIA GTC 2020,Ridge-i inc.,Large-Scale Landslides Detection from Satellite Images with Incomplete Labels [P21920],92,"Landslide,Tropical cyclone,Wireless sensor network",,"disaster,satellite,earthquake"
NVIDIA GTC 2020,The Boeing Company,LUCID: High-Resolution Ground-Based Observations of LEO Satellites with Multi-Frame Blind Deconvolution [s21270],94,"Pulmonary alveolar microlithiasis,Solar observatory,Turbulence","Likelihood,Uncertainty Constrained Iterative Deconvolution,LEO","describe,deconvolution,achievable"
NVIDIA GTC 2020,Centauri,Super-Resolution of Digital Terrain Data [P21822],117,"Cable railings,Digital elevation model","DEM,LR","produce,lowresolution,feature"
NVIDIA GTC 2020,SURVICE Engineering,Using Robust Networks to Inform Lightweight Models in Semi-Supervised Learning for Object Detection [P21789],115,"Data curation,Health professional,Object detection",,"limited,datasets"
NVIDIA GTC 2020,Missouri University of Science and Technology,VR Blast Forensics [S21629],40,Unity (game engine),GPU,"produce,postblast"
NVIDIA GTC 2020,Virginia Tech,WASP: A WeArable SuPercomputing Platform for Lost Person Search-and-Rescue [P22071],145,Supercomputer,"WASP,WeArable SuPercomputing Platform,the United States,SAR","computation,wasp,uavs,application,enhanced,backpack,searcher"
NVIDIA GTC 2020,Davis,Accelerating DNN Inference with GraphBLAS and the GPU [S21796],68,"Deep learning,Graph coloring,GraphBLAS","GPU,SuiteSparse","graphblast,gpu,suitesparse"
NVIDIA GTC 2020,Pacific Northwest National Laboratory,Accelerating Graph Algorithms on Exascale Systems [S21642],77,"A* search algorithm,Bar chart,Leadership in Energy and Environmental Design,Magic SysRq key,Signal-flow graph",US Department of Energy,"largescale,computational,latest"
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Accelerating Large-Scale GW Calculations in Material Science [s21353],117,"Balancing Act,Graphics processing unit","HPC,cuBLAS,cuFFT,GPU,Volta,FLOPs/Watt","accelerate,technique,memory,scaling,thousand,porting"
